50
21
1
1
0
960
229.26
1.0
0.13
1000
0	30	10	10	10	6	20	10	10	20	3	19	10	16	10	16	20	3	17	23	40	8	20	10	10	20	20	20	20	10	7	40	23	9	30	16	10	3	21	20	5	6	14	15	30	14	16	10	20	20	13	
0	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	
40	50
85	35
42	12
42	5
65	82
65	20
95	35
87	30
90	35
67	85
31	67
10	20
5	35
41	37
49	58
30	60
88	35
25	30
45	30
35	69
42	10
63	65
25	85
38	15
85	25
10	35
18	75
0	40
2	40
55	80
23	3
65	85
30	25
27	43
6	68
55	60
92	30
61	52
40	60
8	45
20	50
56	37
53	43
26	35
72	35
65	55
5	5
18	80
55	85
44	5
49	42
40	50
73	52
90	55
55	79
69	89
32	80
39	96
23	80
4	83
18	58
1	56
13	31
-5	38
26	37
28	13
39	31
48	11
59	17
73	23
74	32
90	44
