50
21
3
3
0
230
65.8
1.0
0.46
200
0	26	21	23	36	19	23	1	10	20	9	2	16	18	12	18	27	22	6	16	9	6	8	6	35	10	27	15	1	3	19	9	15	6	7	36	11	5	10	18	16	25	18	9	13	2	25	16	9	29	3	
0	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	
35	35
28	18
40	60
35	69
13	52
50	35
30	25
2	48
27	69
62	77
40	25
5	30
6	38
36	26
20	40
11	14
8	56
18	24
65	20
15	47
20	26
56	37
46	13
53	12
4	18
49	58
26	27
26	35
15	19
61	52
24	58
15	77
57	68
37	47
32	12
56	39
14	37
20	50
41	49
45	10
5	5
67	5
57	29
10	43
49	42
63	23
49	73
41	37
64	42
55	5
65	35
35	35
61	37
74	39
47	57
57	65
29	59
34	71
22	58
7	61
18	41
5	39
14	20
0	26
24	25
26	6
34	20
41	5
50	9
61	14
62	21
74	30
