25
21
1
0
0
960
165.63
1.0
0.18
1000
0	10	20	16	10	10	7	40	10	10	6	20	10	30	30	5	19	13	6	3	14	19	23	27	25	20	
0	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	
40	50
38	15
67	85
55	60
65	82
40	5
23	3
20	80
15	80
5	35
37	47
55	85
5	45
22	75
95	30
20	50
10	20
49	42
65	20
61	52
65	55
24	58
35	69
31	52
67	5
88	35
40	50
73	52
90	55
55	79
69	89
32	80
39	96
23	80
4	83
18	58
1	56
13	31
-5	38
26	37
28	13
39	31
48	11
59	17
73	23
74	32
90	44
