50
21
4
0
0
230
62.14
1.0
0.48
200
0	2	29	9	26	18	19	6	17	6	8	5	8	23	19	9	3	5	6	5	26	15	13	12	9	10	18	15	5	36	16	25	18	23	16	12	17	14	8	10	11	13	19	9	7	2	9	1	9	5	30	
0	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	
35	35
5	30
55	5
40	25
28	18
45	10
50	35
37	47
18	18
65	20
30	5
42	7
63	65
30	25
10	20
20	26
65	35
20	50
56	37
24	12
15	30
57	68
47	47
25	21
35	5
41	49
36	26
26	35
37	56
13	52
6	38
49	73
11	14
57	48
41	37
20	40
45	30
53	43
46	13
19	21
53	52
49	42
55	20
26	52
32	12
63	23
10	43
15	19
45	65
2	60
6	68
35	35
61	37
74	39
47	57
57	65
29	59
34	71
22	58
7	61
18	41
5	39
14	20
0	26
24	25
26	6
34	20
41	5
50	9
61	14
62	21
74	30
